mapId,hours,pedestrians,trafficLights,trafficDensity,trafficSpeed,camPosX,camPosY,camPosZ,camRotX,camRotY,camRotZ
1,Sunrise,0,0,0.1423406,19,0,20,0,90,180,0
frameId,objectId,x,y,z,tl_x,tl_y,br_x,br_y
875,1781,-12,0,-1,1479,414,1716,504
876,1781,-12,0,-1,1447,414,1683,504
877,1781,-12,0,-1,1447,414,1683,504
878,1781,-11,0,-1,1416,414,1649,504
879,1781,-11,0,-1,1416,414,1649,504
880,1781,-11,0,-1,1384,414,1616,504
881,1781,-11,0,-1,1384,414,1616,504
882,1781,-10,0,-1,1353,414,1583,504
883,1781,-10,0,-1,1353,414,1583,504
884,1781,-9,0,-1,1322,414,1549,504
885,1781,-9,0,-1,1322,414,1549,504
886,1781,-9,0,-1,1290,414,1516,504
887,1781,-9,0,-1,1290,414,1516,504
888,1781,-8,0,-1,1259,414,1483,504
889,1781,-8,0,-1,1259,414,1483,504
890,1781,-7,0,-1,1227,414,1450,504
891,1781,-7,0,-1,1227,414,1450,504
892,1781,-7,0,-1,1196,414,1416,504
893,1781,-7,0,-1,1196,414,1416,504
894,1781,-6,0,-1,1164,414,1383,504
895,1781,-6,0,-1,1164,414,1383,504
896,1781,-5,0,-1,1133,414,1350,504
897,1781,-5,0,-1,1133,414,1350,504
898,1781,-5,0,-1,1102,414,1316,504
899,1781,-5,0,-1,1102,414,1316,504
900,1781,-4,0,-1,1070,414,1283,504
901,1781,-4,0,-1,1070,414,1283,504
902,1781,-3,0,-1,1039,414,1250,504
903,1781,-3,0,-1,1039,414,1250,504
904,1781,-3,0,-1,1007,414,1217,504
905,1781,-3,0,-1,1007,414,1217,504
906,1781,-2,0,-1,976,414,1183,504
907,1781,-2,0,-1,976,414,1183,504
908,1781,-1,0,-1,944,414,1150,504
908,1782,20,1,1,-243,564,133,683
909,1781,-1,0,-1,944,414,1150,504
909,1782,20,1,1,-243,564,133,683
910,1781,-1,0,-1,910,414,1117,504
910,1782,19,1,1,-216,564,157,683
911,1781,-1,0,-1,910,414,1117,504
911,1782,19,1,1,-216,564,157,683
912,1781,0,0,-1,877,414,1084,504
912,1782,19,1,1,-190,564,181,683
913,1781,0,0,-1,877,414,1084,504
913,1782,19,1,1,-190,564,181,683
914,1781,0,0,-1,843,414,1050,504
914,1782,18,1,1,-163,564,205,683
915,1781,0,0,-1,843,414,1050,504
915,1782,18,1,1,-163,564,205,683
916,1781,0,0,-1,811,414,1017,504
916,1782,18,1,1,-136,564,228,683
917,1781,0,0,-1,811,414,1017,504
917,1782,18,1,1,-136,564,228,683
918,1781,1,0,-1,777,414,984,504
918,1782,17,1,1,-110,564,252,683
919,1781,1,0,-1,777,414,984,504
919,1782,17,1,1,-110,564,252,683
920,1781,2,0,-1,744,414,951,504
920,1782,17,1,1,-83,564,276,683
921,1781,2,0,-1,744,414,951,504
921,1782,17,1,1,-83,564,276,683
922,1781,2,0,-1,711,414,919,504
922,1782,16,1,1,-57,564,300,683
923,1781,2,0,-1,711,414,919,504
923,1782,16,1,1,-57,564,300,683
924,1781,3,0,-1,677,414,888,504
924,1782,16,1,1,-30,564,324,683
925,1781,3,0,-1,677,414,888,504
925,1782,16,1,1,-30,564,324,683
926,1781,4,0,-1,644,414,857,504
926,1782,15,1,1,-3,564,347,683
927,1781,4,0,-1,644,414,857,504
927,1782,15,1,1,-3,564,347,683
928,1781,4,0,-1,611,414,825,504
928,1782,15,1,1,22,564,371,683
929,1781,4,0,-1,611,414,825,504
929,1782,15,1,1,22,564,371,683
930,1781,5,0,-1,578,414,794,504
930,1782,14,1,1,49,564,395,683
931,1781,5,0,-1,578,414,794,504
931,1782,14,1,1,49,564,395,683
932,1781,6,0,-1,544,414,762,504
932,1782,14,1,1,75,564,419,683
933,1781,6,0,-1,544,414,762,504
933,1782,14,1,1,75,564,419,683
934,1781,6,0,-1,511,414,731,504
934,1782,13,1,1,102,564,443,683
935,1781,6,0,-1,511,414,731,504
935,1782,13,1,1,102,564,443,683
936,1781,7,0,-1,478,414,700,504
936,1782,13,1,1,128,564,466,683
937,1781,7,0,-1,478,414,700,504
937,1782,13,1,1,128,564,466,683
938,1781,8,0,-1,444,414,668,504
938,1782,12,1,1,155,564,490,683
939,1781,8,0,-1,444,414,668,504
939,1782,12,1,1,155,564,490,683
940,1781,8,0,-1,411,414,637,504
940,1782,12,1,1,182,564,514,683
941,1781,8,0,-1,411,414,637,504
941,1782,12,1,1,182,564,514,683
942,1781,9,0,-1,378,414,605,504
942,1782,11,1,1,208,564,538,683
943,1781,9,0,-1,378,414,605,504
943,1782,11,1,1,208,564,538,683
944,1781,10,0,-1,345,414,574,504
944,1782,11,1,1,235,564,562,683
945,1781,10,0,-1,345,414,574,504
945,1782,11,1,1,235,564,562,683
946,1781,10,0,-1,311,414,542,504
946,1782,10,1,1,261,564,585,683
947,1781,10,0,-1,311,414,542,504
947,1782,10,1,1,261,564,585,683
948,1781,11,0,-1,278,414,511,504
948,1782,10,1,1,288,564,609,683
949,1781,11,0,-1,278,414,511,504
